Notch.ID,Egg.No,Year,Clutch,Depth,Clutch.Size,Mean.Temp.1to30,Mean.Max.Temp.1to30,Mean.Temp.31to60,Mean.Max.Temp.31to60,Mean.TSP.Air.Temp,Mean.Max.TSP.Air.Temp,Lay.Wt,Hatch.Wt,Sex,Total.Rain,Mean.TSP.Air.Temp.Rand
1,21,1985,7,23.25,29,16.94666667,23.33333333,16.41333333,22.06666667,16.0625,21.25,10.25,7.12,0,288,20.27390031
1,13,1985,7,16.75,29,16.94666667,23.33333333,16.41333333,22.06666667,16.0625,21.25,9.51,7.19,0,288,19.42322857
1,26,1985,7,30.5,29,16.94666667,23.33333333,16.41333333,22.06666667,16.0625,21.25,10.01,7.59,0,288,18.7645438
1,18,1985,7,21.75,29,16.94666667,23.33333333,16.41333333,22.06666667,16.0625,21.25,10.62,7.89,0,288,19.23476413
1,14,1985,7,19.25,29,16.94666667,23.33333333,16.41333333,22.06666667,16.0625,21.25,10.39,6.97,0,288,18.70099061
1,12,1985,7,15.75,29,16.94666667,23.33333333,16.41333333,22.06666667,16.0625,21.25,9.53,7.32,0,288,19.53358143
1,5,1986,30,8,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10.1,6.3,0,352,20.66205778
1,21,1986,30,22.5,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,9.9,6.7,1,352,19.8963657
1,27,1986,30,30,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,9.8,6.8,0,352,20.57513567
1,26,1986,30,27.5,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10.1,7,0,352,21.92087933
1,10,1986,30,14.5,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10.6,7,1,352,21.77546953
1,24,1986,30,26.25,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,9.8,7.1,1,352,22.22247882
1,2,1986,30,2.75,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10.5,7.3,1,352,20.8322326
1,3,1986,30,8.25,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10.5,7.5,0,352,21.67120987
1,20,1986,30,23,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10.3,7.5,1,352,19.61639576
1,16,1986,30,20.5,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10.3,7.5,1,352,21.47432902
1,15,1986,30,15.75,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10.3,7.5,1,352,20.23327838
1,7,1986,30,9.25,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10.3,7.6,0,352,20.72831704
1,28,1986,30,32.5,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10,7.7,1,352,20.528924
1,14,1986,30,16.25,29,15.38,21.43333333,18.2,23.31666667,17.98965517,23.37931034,10.6,7.8,1,352,19.1843108
2,9,1988,69,12,33,17.91,25.16666667,21.44666667,27,20.42,26.5,11.97,8.4,0,230.8,23.79168654
